,date,type,price,units,value,fee
0,2024-11-02 00:00:00,BUY,0.35974,26407.961305387224,9500.0,0.0
1,2024-11-02 07:00:00,SELL,0.3561,26407.961305387224,9403.87502084839,0.0
2,2024-11-03 20:00:00,BUY,0.33378,28188.271525573644,9408.681269805971,0.0
3,2024-11-04 16:00:00,SELL,0.32526,28188.271525573644,9168.517196408084,0.0
4,2024-11-04 20:00:00,BUY,0.32701,28074.142687006442,9180.525400077977,0.0
5,2024-11-04 21:00:00,SELL,0.32064,28074.142687006442,9001.693111161745,0.0
6,2024-11-05 00:00:00,BUY,0.3288,27404.606829706685,9010.634725607557,0.0
7,2024-11-06 14:00:00,SELL,0.35454,27404.606829706685,9716.029305404209,0.0
8,2024-11-07 01:00:00,BUY,0.37122,26078.22740265712,9680.759576414377,0.0
9,2024-11-07 08:00:00,SELL,0.36954,26078.22740265712,9636.948154377913,0.0
10,2024-11-07 15:00:00,BUY,0.38773,24860.44083635451,9639.138725479736,0.0
11,2024-11-08 18:00:00,SELL,0.44775,24860.44083635451,11131.262384477732,0.0
12,2024-11-09 22:00:00,BUY,0.46703,23674.402504181384,11056.656201527832,0.0
13,2024-11-10 18:00:00,SELL,0.61599,23674.402504181384,14583.195198550691,0.0
14,2024-11-12 08:00:00,BUY,0.64438,22357.720985597858,14406.868248699548,0.0
15,2024-11-12 10:00:00,SELL,0.58079,22357.720985597858,12985.14077122538,0.0
16,2024-11-13 13:00:00,BUY,0.56603,23066.31652933429,13056.227145099088,0.0
17,2024-11-14 04:00:00,SELL,0.56655,23066.31652933429,13068.221629694342,0.0
18,2024-11-14 07:00:00,BUY,0.58105,22489.668540512146,13067.62190546458,0.0
19,2024-11-14 10:00:00,SELL,0.56711,22489.668540512146,12754.115926009843,0.0
20,2024-11-14 21:00:00,BUY,0.58109,21975.582482890048,12769.791224982579,0.0
21,2024-11-16 08:00:00,SELL,0.72235,21975.582482890048,15874.062006515627,0.0
22,2024-11-16 10:00:00,BUY,0.77527,20275.321458896866,15718.848467438975,0.0
23,2024-11-16 13:00:00,SELL,0.755,20275.321458896866,15307.867701467134,0.0
24,2024-11-16 14:00:00,BUY,0.77458,19789.32678324476,15328.416739765727,0.0
25,2024-11-16 15:00:00,SELL,0.74713,19789.32678324476,14785.199719565657,0.0
26,2024-11-17 16:00:00,BUY,0.73958,20028.0707571536,14812.36057057566,0.0
27,2024-11-17 19:00:00,SELL,0.71753,20028.0707571536,14370.741610380423,0.0
28,2024-11-18 02:00:00,BUY,0.73558,19566.631173210506,14392.822558390184,0.0
29,2024-11-18 12:00:00,SELL,0.7315,19566.631173210506,14312.990703203486,0.0
30,2024-11-19 05:00:00,BUY,0.75215,19034.743463355477,14316.982295962822,0.0
