,date,type,price,units,value,fee
0,2024-11-06 04:00:00,BUY,0.36088,26324.540013300822,9500.0,0.0
1,2024-11-07 22:00:00,SELL,0.39685,26324.540013300822,10446.893704278431,0.0
2,2024-11-09 06:00:00,BUY,0.43462,23927.911782855157,10399.549019064509,0.0
3,2024-11-09 21:00:00,SELL,0.44551,23927.911782855157,10660.123978379801,0.0
4,2024-11-11 11:00:00,BUY,0.59644,17851.075096261215,10647.095230414037,0.0
5,2024-11-14 22:00:00,SELL,0.57907,17851.075096261215,10337.022055991982,0.0
6,2024-11-21 06:00:00,BUY,0.78272,13226.346221781843,10352.525714713083,0.0
7,2024-11-24 12:00:00,SELL,0.97624,13226.346221781843,12912.088235552306,0.0
8,2024-11-25 06:00:00,BUY,1.03823,12313.369975352616,12784.110109510346,0.0
9,2024-11-29 07:00:00,SELL,1.04679,12313.369975352616,12889.512556499367,0.0
10,2024-11-29 21:00:00,BUY,1.05721,12187.022856527952,12884.242434149915,0.0
11,2024-12-04 16:00:00,SELL,1.14756,12187.022856527952,13985.339949237215,0.0
12,2024-12-10 11:00:00,BUY,1.01969,13661.294190864724,13930.28507348285,0.0
13,2024-12-11 16:00:00,SELL,1.08216,13661.294190864724,14783.70612158617,0.0
14,2024-12-13 11:00:00,BUY,1.09697,13437.956433795824,14741.035069181005,0.0
15,2024-12-18 20:00:00,SELL,0.97785,13437.956433795824,13140.305698787246,0.0
16,2024-12-19 10:00:00,BUY,0.9857,13412.135707930336,13220.342167306933,0.0
17,2024-12-19 17:00:00,SELL,0.90486,13412.135707930336,12136.105116677843,0.0
18,2024-12-20 06:00:00,BUY,0.8752,13928.60714032141,12190.316969209298,0.0
19,2024-12-20 09:00:00,SELL,0.82,13928.60714032141,11421.457855063556,0.0
20,2024-12-23 09:00:00,BUY,0.8994,12741.717601479702,11459.900810770843,0.0
21,2024-12-23 16:00:00,SELL,0.90023,12741.717601479702,11470.476436380071,0.0
22,2024-12-24 06:00:00,BUY,0.90351,12694.876266006584,11469.94765509961,0.0
23,2024-12-26 10:00:00,SELL,0.87166,12694.876266006584,11065.615846027298,0.0
24,2024-12-28 03:00:00,BUY,0.87419,12681.262009953116,11085.832436480914,0.0
