,date,type,price,units,value,fee
0,2024-11-02 02:00:00,BUY,0.11621,81748.55864383445,9500.0,0.0
1,2024-11-02 15:00:00,SELL,0.11353,81748.55864383445,9280.913862834524,0.0
2,2024-11-05 04:00:00,BUY,0.11237,82689.93654616711,9291.868169692798,0.0
3,2024-11-12 13:00:00,SELL,0.14662,82689.93654616711,12123.998496399023,0.0
4,2024-11-12 22:00:00,BUY,0.15615,76736.41998119571,11982.39198006371,0.0
5,2024-11-13 04:00:00,SELL,0.142,76736.41998119571,10896.57163732979,0.0
6,2024-11-13 16:00:00,BUY,0.15456,70851.85464846328,10950.862654466486,0.0
7,2024-11-13 19:00:00,SELL,0.14316,70851.85464846328,10143.151511474005,0.0
8,2024-11-14 06:00:00,BUY,0.14986,67953.6705500042,10183.53706862363,0.0
9,2024-11-14 15:00:00,SELL,0.14154,67953.6705500042,9618.162529647594,0.0
10,2024-11-14 20:00:00,BUY,0.15048,64104.40760630247,9646.431256596396,0.0
11,2024-11-14 22:00:00,SELL,0.13994,64104.40760630247,8970.770800425968,0.0
12,2024-11-15 02:00:00,BUY,0.15199,59244.3833359727,9004.55382323449,0.0
13,2024-11-17 02:00:00,SELL,0.18444,59244.3833359727,10927.034062486804,0.0
14,2024-11-17 10:00:00,BUY,0.1945,55685.91285616549,10830.910050524188,0.0
15,2024-11-17 11:00:00,SELL,0.19066,55685.91285616549,10617.076145156512,0.0
16,2024-11-18 04:00:00,BUY,0.20999,50610.82832718175,10627.767840424896,0.0
17,2024-11-19 08:00:00,SELL,0.20773,50610.82832718175,10513.387368405465,0.0
18,2024-11-19 14:00:00,BUY,0.21555,48801.23587105747,10519.106392006437,0.0
19,2024-11-20 16:00:00,SELL,0.21352,48801.23587105747,10420.03988318819,0.0
20,2024-11-21 22:00:00,BUY,0.21599,48266.09198865273,10424.993208629103,0.0
21,2024-11-24 12:00:00,SELL,0.2749,48266.09198865273,13268.348687680635,0.0
22,2024-11-25 06:00:00,BUY,0.29152,45026.69084017583,13126.180913728058,0.0
23,2024-11-25 07:00:00,SELL,0.26399,45026.69084017583,11886.596114898017,0.0
24,2024-11-25 09:00:00,BUY,0.29023,41169.332442681734,11948.575354839519,0.0
25,2024-11-25 13:00:00,SELL,0.27516,41169.332442681734,11328.153514928306,0.0
26,2024-11-26 15:00:00,BUY,0.27751,40932.4875028787,11359.174606923867,0.0
27,2024-11-28 01:00:00,SELL,0.28936,40932.4875028787,11844.22458383298,0.0
28,2024-11-28 14:00:00,BUY,0.2996,39452.51029702111,11819.972084987523,0.0
29,2024-11-28 15:00:00,SELL,0.29042,39452.51029702111,11457.798040460872,0.0
30,2024-11-28 17:00:00,BUY,0.30242,37946.917342395354,11475.906742687204,0.0
31,2024-12-02 11:00:00,SELL,0.46816,37946.917342395354,17765.22882301581,0.0
32,2024-12-02 14:00:00,BUY,0.49426,35306.84805365472,17450.76271899938,0.0
33,2024-12-03 23:00:00,SELL,0.51246,35306.84805365472,18093.3473535759,0.0
34,2024-12-06 19:00:00,BUY,0.48373,37337.39507958381,18061.218121847076,0.0
35,2024-12-08 09:00:00,SELL,0.49,37337.39507958381,18295.323588996067,0.0
36,2024-12-11 11:00:00,BUY,0.42999,42521.03145570506,18283.618315638618,0.0
37,2024-12-12 15:00:00,SELL,0.43278,42521.03145570506,18402.251993400034,0.0
38,2024-12-13 14:00:00,BUY,0.43927,41879.30045191331,18396.32030951196,0.0
39,2024-12-14 07:00:00,SELL,0.42987,41879.30045191331,18002.654885263975,0.0
40,2024-12-15 12:00:00,BUY,0.42353,42552.68376850843,18022.338156476377,0.0
41,2024-12-15 20:00:00,SELL,0.41767,42552.68376850843,17772.979429592917,0.0
42,2024-12-15 23:00:00,BUY,0.4362,40773.606982891084,17785.44736593709,0.0
43,2024-12-16 06:00:00,SELL,0.41843,40773.606982891084,17060.90036985112,0.0
44,2024-12-16 17:00:00,BUY,0.43291,39493.49222622582,17097.12771965542,0.0
45,2024-12-16 23:00:00,SELL,0.41301,39493.49222622582,16311.207224353526,0.0
46,2024-12-17 10:00:00,BUY,0.42931,38085.54016705555,16350.50324911862,0.0
47,2024-12-17 23:00:00,SELL,0.41,38085.54016705555,15615.071468492775,0.0
48,2024-12-20 22:00:00,BUY,0.34491,45379.499166518995,15651.843057524067,0.0
49,2024-12-21 16:00:00,SELL,0.33818,45379.499166518995,15346.439028133393,0.0
50,2024-12-22 12:00:00,BUY,0.34625,44365.947233510255,15361.709229602926,0.0
51,2024-12-25 12:00:00,SELL,0.3822,44365.947233510255,16956.66503264762,0.0
52,2024-12-27 10:00:00,BUY,0.36088,46766.00876328803,16876.917242495383,0.0
53,2024-12-27 14:00:00,SELL,0.34471,46766.00876328803,16120.710880793018,0.0
54,2024-12-28 17:00:00,BUY,0.34333,47064.11091043059,16158.521198878134,0.0
55,2024-12-29 11:00:00,SELL,0.33882,47064.11091043059,15946.262058672091,0.0
56,2024-12-30 20:00:00,BUY,0.34773,45888.69242136829,15956.875015682393,0.0
