,date,type,price,units,value,fee
0,2020-01-02 12:00:00,BUY,202.48,46.91821414460688,9500.0,0.0
1,2020-01-02 13:00:00,SELL,201.33,46.91821414460688,9446.044053733704,0.0
2,2020-01-02 14:00:00,BUY,202.61,46.635120927135965,9448.741851047018,0.0
3,2020-01-02 16:00:00,SELL,198.02,46.635120927135965,9234.686645991464,0.0
4,2020-01-03 04:00:00,BUY,202.49,45.65849872213068,9245.389406244241,0.0
5,2020-01-04 01:00:00,SELL,220.06,45.65849872213068,10047.609228792078,0.0
6,2020-01-06 01:00:00,BUY,232.96,42.95801097898646,10007.498237664686,0.0
7,2020-01-06 14:00:00,SELL,236.1,42.95801097898646,10142.386392138702,0.0
8,2020-01-06 22:00:00,BUY,243.88,41.55995565202149,10135.641984415002,0.0
9,2020-01-07 06:00:00,SELL,241.2,41.55995565202149,10024.261303267584,0.0
10,2020-01-07 20:00:00,BUY,244.62,41.001677447980356,10029.830337324955,0.0
11,2020-01-08 07:00:00,SELL,243.58,41.001677447980356,9987.188592779055,0.0
12,2020-01-09 00:00:00,BUY,239.51,41.707321949005674,9989.320680006349,0.0
13,2020-01-09 08:00:00,SELL,236.13,41.707321949005674,9848.34993181871,0.0
14,2020-01-09 20:00:00,BUY,236.73,41.631387949259036,9855.398469228092,0.0
15,2020-01-10 08:00:00,SELL,232.48,41.631387949259036,9678.46507044374,0.0
16,2020-01-10 10:00:00,BUY,235.38,41.156052937305454,9687.311740382958,0.0
17,2020-01-11 07:00:00,SELL,269.64,41.156052937305454,11097.318114015043,0.0
18,2020-01-12 23:00:00,BUY,270.63,40.74499425537981,11026.817795333438,0.0
19,2020-01-13 02:00:00,SELL,262.9,40.74499425537981,10711.85898973935,0.0
20,2020-01-13 10:00:00,BUY,266.81,40.20691477088211,10727.606930019056,0.0
21,2020-01-13 12:00:00,SELL,263.64,40.20691477088211,10600.151010195359,0.0
22,2020-01-13 19:00:00,BUY,265.35,39.971825159926674,10606.523806186544,0.0
23,2020-01-15 04:00:00,SELL,319.46,39.971825159926674,12769.399265590175,0.0
24,2020-01-16 18:00:00,BUY,326.59,38.768044008144756,12661.255492619994,0.0
25,2020-01-17 14:00:00,SELL,335.98,38.768044008144756,13025.287425856475,0.0
26,2020-01-17 16:00:00,BUY,355.78,36.55935080441467,13007.08582919465,0.0
27,2020-01-18 05:00:00,SELL,356.58,36.55935080441467,13036.333309838183,0.0
28,2020-01-19 04:00:00,BUY,358.7,36.3391997095233,13034.870935806008,0.0
29,2020-01-19 11:00:00,SELL,334.87,36.3391997095233,12168.907806728068,0.0
30,2020-01-19 23:00:00,BUY,339.59,35.961618313795945,12212.205963181965,0.0
31,2020-01-21 06:00:00,SELL,343.1,35.961618313795945,12338.43124346339,0.0
32,2020-01-22 00:00:00,BUY,342.78,35.976778048454754,12332.119979449319,0.0
33,2020-01-22 02:00:00,SELL,341.0,35.976778048454754,12268.081314523071,0.0
34,2020-01-22 04:00:00,BUY,342.95,35.78155196900243,12271.283247769383,0.0
35,2020-01-22 13:00:00,SELL,342.06,35.78155196900243,12239.437666516971,0.0
36,2020-01-22 23:00:00,BUY,348.59,35.11583793447773,12241.029945579592,0.0
37,2020-01-23 01:00:00,SELL,340.16,35.11583793447773,11945.003431791945,0.0
38,2020-01-24 11:00:00,BUY,318.77,37.51860199354183,11959.804757481328,0.0
39,2020-01-25 01:00:00,SELL,307.38,37.51860199354183,11532.467880774888,0.0
40,2020-01-25 08:00:00,BUY,315.68,36.599831236094175,11553.83472461021,0.0
41,2020-01-27 09:00:00,SELL,359.16,36.599831236094175,13145.195386755586,0.0
42,2020-01-27 12:00:00,BUY,369.85,35.32682804825826,13065.627353648317,0.0
43,2020-01-27 13:00:00,SELL,364.98,35.32682804825826,12893.5857010533,0.0
44,2020-01-27 14:00:00,BUY,370.86,34.78991474864653,12902.187783683052,0.0
45,2020-01-27 17:00:00,SELL,367.97,34.78991474864653,12801.644930059465,0.0
46,2020-01-28 22:00:00,BUY,372.99,34.33516199560483,12806.672072740645,0.0
47,2020-01-29 12:00:00,SELL,383.47,34.33516199560483,13166.504570454585,0.0
48,2020-01-30 07:00:00,BUY,389.76,33.734895693680436,13148.512945568888,0.0
49,2020-01-30 11:00:00,SELL,384.58,33.734895693680436,12973.766185875622,0.0
50,2020-01-30 12:00:00,BUY,386.28,33.609049197111645,12982.503523860285,0.0
51,2020-01-30 14:00:00,SELL,381.67,33.609049197111645,12827.565807061603,0.0
52,2020-01-30 17:00:00,BUY,393.9,32.58520612567032,12835.312692901536,0.0
53,2020-01-31 01:00:00,SELL,387.91,32.58520612567032,12640.127308208774,0.0
