,date,type,price,units,value,fee
0,2024-11-03 13:00:00,BUY,336.45,28.235993461138357,9500.0,0.0
1,2024-11-06 04:00:00,SELL,378.53,28.235993461138357,10688.170604844701,0.0
2,2024-11-06 14:00:00,BUY,361.58,29.395326275243285,10628.762074602466,0.0
3,2024-11-06 22:00:00,SELL,380.96,29.395326275243285,11198.443497816681,0.0
4,2024-11-07 06:00:00,BUY,372.98,29.94787770565706,11169.95942665597,0.0
5,2024-11-09 21:00:00,SELL,385.94,29.94787770565706,11558.083921721285,0.0
6,2024-11-11 05:00:00,BUY,424.22,27.199749415322284,11538.67769696802,0.0
7,2024-11-11 15:00:00,SELL,448.88,27.199749415322284,12209.423517549867,0.0
8,2024-11-12 09:00:00,BUY,447.45,27.211724721244327,12175.886226520774,0.0
9,2024-11-13 14:00:00,SELL,438.58,27.211724721244327,11934.518228243336,0.0
10,2024-11-14 14:00:00,BUY,422.12,28.301399194914264,11946.586628157209,0.0
11,2024-11-15 20:00:00,SELL,435.76,28.301399194914264,12332.61771317584,0.0
12,2024-11-17 01:00:00,BUY,452.97,27.183513607799426,12313.316158924907,0.0
13,2024-11-21 03:00:00,SELL,453.28,27.183513607799426,12321.743048143324,0.0
14,2024-11-21 12:00:00,BUY,496.47,24.817857481181953,12321.321703682404,0.0
15,2024-11-23 01:00:00,SELL,544.79,24.817857481181953,13520.520577173116,0.0
16,2024-11-23 07:00:00,BUY,530.19,25.38818279012916,13460.56063349858,0.0
17,2024-11-24 22:00:00,SELL,512.83,25.38818279012916,13019.821780261938,0.0
18,2024-11-25 14:00:00,BUY,508.07,25.669413118121064,13041.85872292377,0.0
19,2024-11-27 10:00:00,SELL,515.03,25.669413118121064,13220.517838225891,0.0
20,2024-11-28 09:00:00,BUY,502.68,26.282296654851567,13211.584882460786,0.0
21,2024-11-30 12:00:00,SELL,534.46,26.282296654851567,14046.836270151969,0.0
22,2024-12-02 03:00:00,BUY,534.11,26.221328379486266,14005.07370076741,0.0
23,2024-12-02 21:00:00,SELL,535.4,26.221328379486266,14038.899214376946,0.0
24,2024-12-03 10:00:00,BUY,526.44,26.664402284584128,14037.207938696469,0.0
25,2024-12-03 12:00:00,SELL,562.74,26.664402284584128,15005.125741626873,0.0
26,2024-12-03 13:00:00,BUY,529.72,28.235161691988885,14956.729851480353,0.0
27,2024-12-03 22:00:00,SELL,556.24,28.235161691988885,15705.526339551898,0.0
28,2024-12-04 13:00:00,BUY,558.76,28.04081629885518,15668.08651514832,0.0
29,2024-12-05 02:00:00,SELL,594.81,28.04081629885518,16678.95794272205,0.0
30,2024-12-09 20:00:00,BUY,573.87,28.975925508117452,16628.414371343362,0.0
31,2024-12-11 08:00:00,SELL,527.46,28.975925508117452,15283.641668511633,0.0
32,2024-12-14 12:00:00,BUY,529.49,28.991822893072992,15350.880303653219,0.0
33,2024-12-15 12:00:00,SELL,544.97,28.991822893072992,15799.67372203799,0.0
34,2024-12-16 03:00:00,BUY,535.74,29.44942332310216,15777.23405111875,0.0
35,2024-12-17 17:00:00,SELL,545.0,29.44942332310216,16049.935711090677,0.0
36,2024-12-18 06:00:00,BUY,515.8,31.09015243910834,16036.30062809208,0.0
37,2024-12-19 03:00:00,SELL,482.62,31.09015243910834,15004.729370162468,0.0
38,2024-12-19 17:00:00,BUY,447.88,33.61683471702007,15056.307933058948,0.0
39,2024-12-20 02:00:00,SELL,448.63,33.61683471702007,15081.520559096713,0.0
40,2024-12-20 06:00:00,BUY,431.34,34.96142237630367,15080.259927794825,0.0
41,2024-12-20 13:00:00,SELL,418.02,34.96142237630367,14614.573781742462,0.0
42,2024-12-21 13:00:00,BUY,448.73,32.6206362156421,14637.85808904508,0.0
43,2024-12-23 03:00:00,SELL,455.55,32.6206362156421,14860.33082803576,0.0
44,2024-12-23 15:00:00,BUY,433.12,34.28427962478349,14849.207191086225,0.0
45,2024-12-23 20:00:00,SELL,455.42,34.28427962478349,15613.746626718896,0.0
46,2024-12-26 08:00:00,BUY,440.76,35.33787016729572,15575.519654937261,0.0
47,2024-12-30 18:00:00,SELL,448.58,35.33787016729572,15851.861799645512,0.0
