,date,type,price,units,value,fee
0,2024-11-02 13:00:00,BUY,2479.1,3.8320358194506072,9500.0,0.0
1,2024-11-03 21:00:00,SELL,2468.4,3.8320358194506072,9458.99721673188,0.0
2,2024-11-04 16:00:00,BUY,2412.8,3.921190051349173,9461.047355895285,0.0
3,2024-11-05 06:00:00,SELL,2428.6,3.921190051349173,9523.002158706602,0.0
4,2024-11-05 21:00:00,BUY,2415.1,3.9418261846573786,9519.904418566035,0.0
5,2024-11-06 02:00:00,SELL,2569.4,3.9418261846573786,10128.128198858669,0.0
6,2024-11-12 17:00:00,BUY,3233.8,3.1225545827954844,10097.717009844038,0.0
7,2024-11-13 15:00:00,SELL,3317.9,3.1225545827954844,10360.323850257138,0.0
8,2024-11-13 21:00:00,BUY,3153.2,3.281489759050008,10347.193508236483,0.0
9,2024-11-16 03:00:00,SELL,3159.7,3.281489759050008,10368.523191670309,0.0
10,2024-11-17 01:00:00,BUY,3086.2,3.3592951550445913,10367.456707498617,0.0
11,2024-11-18 03:00:00,SELL,3111.1,3.3592951550445913,10451.103156859228,0.0
12,2024-11-19 09:00:00,BUY,3113.1,3.3557935287627116,10446.920834391198,0.0
13,2024-11-21 06:00:00,SELL,3129.6,3.3557935287627116,10502.291427615783,0.0
14,2024-11-22 19:00:00,BUY,3285.2,3.1960072135500286,10499.522897954554,0.0
15,2024-11-23 05:00:00,SELL,3352.3,3.1960072135500286,10713.974981983762,0.0
16,2024-11-24 11:00:00,BUY,3349.3,3.195668461404562,10703.2523777823,0.0
17,2024-11-25 05:00:00,SELL,3384.5,3.195668461404562,10815.73990762374,0.0
18,2024-11-26 09:00:00,BUY,3357.8,3.2194042322746044,10810.115531131667,0.0
19,2024-11-27 03:00:00,SELL,3361.4,3.2194042322746044,10821.705386367856,0.0
20,2024-11-28 15:00:00,BUY,3542.2,3.0549166883874563,10821.125893606048,0.0
21,2024-11-29 13:00:00,SELL,3611.8,3.0549166883874563,11033.748095117815,0.0
22,2024-12-02 08:00:00,BUY,3604.5,3.0581542474801573,11023.116985042227,0.0
23,2024-12-03 22:00:00,SELL,3634.1,3.0581542474801573,11113.63835076764,0.0
24,2024-12-07 06:00:00,BUY,3984.8,2.7878719841601507,11109.112282481368,0.0
25,2024-12-07 20:00:00,SELL,4020.4,2.7878719841601507,11208.36052511747,0.0
26,2024-12-08 05:00:00,BUY,3973.6,2.8194579507211763,11203.398112985666,0.0
27,2024-12-08 22:00:00,SELL,4013.1,2.8194579507211763,11314.766702039153,0.0
28,2024-12-09 02:00:00,BUY,3945.9,2.866063071184388,11309.198272586478,0.0
29,2024-12-10 10:00:00,SELL,3765.5,2.866063071184388,10792.160494544814,0.0
30,2024-12-10 17:00:00,BUY,3528.6,3.065808644631553,10818.012383446898,0.0
31,2024-12-11 05:00:00,SELL,3662.4,3.065808644631553,11228.2175800986,0.0
32,2024-12-12 21:00:00,BUY,3866.3,2.898819884713037,11207.707320266016,0.0
33,2024-12-13 14:00:00,SELL,3952.7,2.898819884713037,11458.165358305221,0.0
34,2024-12-14 12:00:00,BUY,3867.4,2.9595186576002637,11445.64245640326,0.0
35,2024-12-15 16:00:00,SELL,3910.2,2.9595186576002637,11572.309854948551,0.0
36,2024-12-16 13:00:00,BUY,3898.1,2.9670804969142113,11565.976485021287,0.0
37,2024-12-16 18:00:00,SELL,4085.0,2.9670804969142113,12120.523829894553,0.0
38,2024-12-17 20:00:00,BUY,3932.5,3.0750912810301054,12092.79646265089,0.0
39,2024-12-18 18:00:00,SELL,3900.8,3.0750912810301054,11995.316069042236,0.0
40,2024-12-18 22:00:00,BUY,3679.5,3.261364339916475,12000.19008872267,0.0
41,2024-12-19 11:00:00,SELL,3705.5,3.261364339916475,12084.985561560497,0.0
42,2024-12-20 01:00:00,BUY,3370.0,3.584791034990684,12080.745787918606,0.0
43,2024-12-20 17:00:00,SELL,3437.1,3.584791034990684,12321.28526636648,0.0
44,2024-12-21 12:00:00,BUY,3402.5,3.6177100051268436,12309.258292444085,0.0
45,2024-12-22 11:00:00,SELL,3379.5,3.6177100051268436,12226.050962326168,0.0
46,2024-12-26 05:00:00,BUY,3439.0,3.556327807162566,12230.211328832065,0.0
47,2024-12-27 03:00:00,SELL,3373.5,3.556327807162566,11997.271857462916,0.0
48,2024-12-27 16:00:00,BUY,3311.4,3.62653827113347,12008.918831031373,0.0
49,2024-12-28 13:00:00,SELL,3360.3,3.62653827113347,12186.2565524898,0.0
50,2024-12-30 15:00:00,BUY,3317.6,3.670541857492428,12177.389666416879,0.0
