,date,type,price,units,value,fee
0,2024-11-02 17:00:00,BUY,11.19,848.9722966934763,9500.0,0.0
1,2024-11-02 18:00:00,SELL,11.14,848.9722966934763,9457.551385165327,0.0
2,2024-11-02 19:00:00,BUY,11.17,846.8821679415452,9459.67381590706,0.0
3,2024-11-03 02:00:00,SELL,10.88,846.8821679415452,9214.077987204011,0.0
4,2024-11-03 21:00:00,BUY,10.79,855.0841314772165,9226.357778639165,0.0
5,2024-11-04 09:00:00,SELL,10.55,855.0841314772165,9021.137587084635,0.0
6,2024-11-04 12:00:00,BUY,10.62,850.4141804766818,9031.39859666236,0.0
7,2024-11-04 13:00:00,SELL,10.56,850.4141804766818,8980.37374583376,0.0
8,2024-11-05 01:00:00,BUY,10.28,873.8253879742404,8982.92498837519,0.0
9,2024-11-06 15:00:00,SELL,11.85,873.8253879742404,10354.830847494748,0.0
10,2024-11-06 22:00:00,BUY,12.3,836.2793133771356,10286.235554538769,0.0
11,2024-11-07 00:00:00,SELL,12.11,836.2793133771356,10127.342484997112,0.0
12,2024-11-07 01:00:00,BUY,12.43,815.3891503197261,10135.287138474196,0.0
13,2024-11-07 06:00:00,SELL,12.27,815.3891503197261,10004.824874423039,0.0
14,2024-11-07 21:00:00,BUY,12.66,790.7857810130803,10011.347987625597,0.0
15,2024-11-07 22:00:00,SELL,12.56,790.7857810130803,9932.26940952429,0.0
16,2024-11-08 00:00:00,BUY,12.82,775.0564226543958,9936.223338429354,0.0
17,2024-11-08 02:00:00,SELL,12.61,775.0564226543958,9773.46148967193,0.0
18,2024-11-08 09:00:00,BUY,12.98,753.5901064799539,9781.599582109802,0.0
19,2024-11-09 01:00:00,SELL,13.44,753.5901064799539,10128.25103109058,0.0
20,2024-11-09 23:00:00,BUY,13.75,735.3395242648394,10110.918458641541,0.0
21,2024-11-10 19:00:00,SELL,14.41,735.3395242648394,10596.242544656336,0.0
22,2024-11-11 15:00:00,BUY,14.33,737.7513147491693,10571.976340355595,0.0
23,2024-11-12 10:00:00,SELL,14.22,737.7513147491693,10490.823695733188,0.0
24,2024-11-13 12:00:00,BUY,13.46,779.7088653762488,10494.88132796431,0.0
25,2024-11-13 21:00:00,SELL,13.34,779.7088653762488,10401.31626411916,0.0
26,2024-11-14 05:00:00,BUY,13.62,764.0230923136137,10405.994517311417,0.0
27,2024-11-14 11:00:00,SELL,13.3,764.0230923136137,10161.507127771063,0.0
28,2024-11-14 13:00:00,BUY,13.44,756.9740697357203,10173.73149724808,0.0
29,2024-11-14 14:00:00,SELL,13.13,756.9740697357203,9939.069535630008,0.0
30,2024-11-14 19:00:00,BUY,13.3,748.1806491511963,9950.802633710911,0.0
31,2024-11-14 20:00:00,SELL,13.13,748.1806491511963,9823.611923355209,0.0
32,2024-11-14 21:00:00,BUY,13.29,739.651727529947,9829.971458872995,0.0
33,2024-11-14 23:00:00,SELL,12.99,739.651727529947,9608.075940614011,0.0
34,2024-11-15 06:00:00,BUY,13.22,727.6225958038548,9619.17071652696,0.0
35,2024-11-16 15:00:00,SELL,14.16,727.6225958038548,10303.135956582584,0.0
36,2024-11-16 18:00:00,BUY,14.66,700.4732397394135,10268.937694579803,0.0
37,2024-11-16 23:00:00,SELL,14.52,700.4732397394135,10170.871441016285,0.0
38,2024-11-17 00:00:00,BUY,14.86,684.7762283778237,10175.77475369446,0.0
39,2024-11-17 01:00:00,SELL,14.15,684.7762283778237,9689.583631546206,0.0
40,2024-11-18 01:00:00,BUY,14.29,679.7685925579859,9713.893187653619,0.0
41,2024-11-19 01:00:00,SELL,14.94,679.7685925579859,10155.74277281631,0.0
42,2024-11-20 08:00:00,BUY,14.68,690.3031535121372,10133.650293558174,0.0
43,2024-11-20 18:00:00,SELL,14.26,690.3031535121372,9843.722969083077,0.0
44,2024-11-21 05:00:00,BUY,14.51,679.4086378571214,9858.219335306832,0.0
45,2024-11-22 00:00:00,SELL,14.75,679.4086378571214,10021.277408392541,0.0
46,2024-11-22 02:00:00,BUY,15.01,667.0969023809631,10013.124504738256,0.0
47,2024-11-22 10:00:00,SELL,15.04,667.0969023809631,10033.137411809685,0.0
48,2024-11-22 11:00:00,BUY,15.34,653.9854476177388,10032.136766456113,0.0
49,2024-11-22 13:00:00,SELL,15.05,653.9854476177388,9842.48098664697,0.0
50,2024-11-22 16:00:00,BUY,15.77,624.7282039085243,9851.963775637427,0.0
51,2024-11-22 18:00:00,SELL,15.27,624.7282039085243,9539.599673683166,0.0
52,2024-11-22 21:00:00,BUY,15.8,604.7606252392961,9555.217878780879,0.0
53,2024-11-23 19:00:00,SELL,17.6,604.7606252392961,10643.787004211612,0.0
54,2024-11-24 21:00:00,BUY,17.43,607.5363481319607,10589.358547940075,0.0
55,2024-11-25 15:00:00,SELL,18.51,607.5363481319607,11245.497803922593,0.0
56,2024-11-26 16:00:00,BUY,17.26,649.6344635645114,11212.690841123467,0.0
57,2024-11-27 19:00:00,SELL,18.06,649.6344635645114,11732.398411975075,0.0
58,2024-11-27 20:00:00,BUY,18.35,637.9516639472748,11706.413033432495,0.0
59,2024-11-28 02:00:00,SELL,18.18,637.9516639472748,11597.961250561457,0.0
60,2024-11-28 22:00:00,BUY,18.03,643.5598358128124,11603.383839705008,0.0
61,2024-11-29 01:00:00,SELL,17.78,643.5598358128124,11442.493880751805,0.0
62,2024-11-29 02:00:00,BUY,18.0,636.1410210388592,11450.538378699466,0.0
63,2024-11-29 04:00:00,SELL,17.74,636.1410210388592,11285.14171322936,0.0
64,2024-11-29 10:00:00,BUY,18.09,624.2903010781021,11293.411546502866,0.0
65,2024-11-30 10:00:00,SELL,18.12,624.2903010781021,11312.14025553521,0.0
66,2024-11-30 15:00:00,BUY,18.89,598.7932144035782,11311.203820083592,0.0
67,2024-12-01 00:00:00,SELL,18.67,598.7932144035782,11179.469312914805,0.0
68,2024-12-01 23:00:00,BUY,18.88,592.4817816882016,11186.056038273246,0.0
69,2024-12-03 06:00:00,SELL,25.0,592.4817816882016,14812.044542205042,0.0
70,2024-12-04 14:00:00,BUY,26.2,558.4253861453608,14630.745117008451,0.0
71,2024-12-04 20:00:00,SELL,24.18,558.4253861453608,13502.725836994823,0.0
72,2024-12-05 11:00:00,BUY,24.27,558.6784837657809,13559.126800995504,0.0
73,2024-12-05 19:00:00,SELL,23.69,558.6784837657809,13235.09328041135,0.0
74,2024-12-06 03:00:00,BUY,24.0,552.13728985169,13251.294956440559,0.0
75,2024-12-06 09:00:00,SELL,23.5,552.13728985169,12975.226311514714,0.0
76,2024-12-06 16:00:00,BUY,23.93,542.7927180844549,12989.029743761006,0.0
77,2024-12-07 09:00:00,SELL,25.1,542.7927180844549,13624.09722391982,0.0
78,2024-12-08 06:00:00,BUY,25.41,534.9210487962173,13592.34384991188,0.0
79,2024-12-08 18:00:00,SELL,25.63,534.9210487962173,13710.02648064705,0.0
80,2024-12-09 02:00:00,BUY,26.88,509.82672429725784,13704.14234911029,0.0
81,2024-12-09 07:00:00,SELL,26.21,509.82672429725784,13362.558443831129,0.0
82,2024-12-10 06:00:00,BUY,23.17,577.4552282734177,13379.637639095088,0.0
83,2024-12-10 16:00:00,SELL,21.55,577.4552282734177,12444.16016929215,0.0
84,2024-12-10 21:00:00,BUY,21.88,570.8836399809094,12490.934042782297,0.0
85,2024-12-12 13:00:00,SELL,27.82,570.8836399809094,15881.982864268899,0.0
86,2024-12-13 03:00:00,BUY,30.18,520.6239371502508,15712.430423194568,0.0
87,2024-12-13 04:00:00,SELL,29.35,520.6239371502508,15280.31255535986,0.0
88,2024-12-14 00:00:00,BUY,29.7,515.2161093855756,15301.918448751596,0.0
89,2024-12-14 12:00:00,SELL,29.2,515.2161093855756,15044.310394058806,0.0
90,2024-12-14 15:00:00,BUY,30.36,495.95490108015304,15057.190796793446,0.0
91,2024-12-14 18:00:00,SELL,29.46,495.95490108015304,14610.83138582131,0.0
92,2024-12-15 16:00:00,BUY,29.35,498.57408369233104,14633.149356369917,0.0
93,2024-12-15 20:00:00,SELL,28.76,498.57408369233104,14338.990646991442,0.0
94,2024-12-15 23:00:00,BUY,29.24,490.8925643796295,14353.698582460365,0.0
95,2024-12-16 03:00:00,SELL,28.62,490.8925643796295,14049.345192544997,0.0
96,2024-12-16 06:00:00,BUY,28.92,486.32651666807624,14064.562862040766,0.0
97,2024-12-16 21:00:00,SELL,29.15,486.32651666807624,14176.417960874422,0.0
98,2024-12-17 21:00:00,BUY,28.22,502.15539354828985,14170.825205932739,0.0
99,2024-12-18 04:00:00,SELL,27.17,502.15539354828985,13643.562042707035,0.0
100,2024-12-18 11:00:00,BUY,27.89,490.13715313260377,13669.92520086832,0.0
