,date,type,price,units,value,fee
0,2022-04-04 12:00:00,BUY,17.33,548.1823427582228,9500.0,0.0
1,2022-04-05 05:00:00,SELL,17.51,548.1823427582228,9598.672821696482,0.0
2,2022-04-05 21:00:00,BUY,17.03,563.3434633359751,9593.739180611658,0.0
3,2022-04-08 05:00:00,SELL,15.83,563.3434633359751,8917.727024608486,0.0
4,2022-04-08 13:00:00,BUY,15.34,583.5415666498465,8951.527632408644,0.0
5,2022-04-10 05:00:00,SELL,15.53,583.5415666498465,9062.400530072115,0.0
6,2022-04-11 06:00:00,BUY,14.9,607.8427439724121,9056.856885188941,0.0
7,2022-04-12 11:00:00,SELL,14.14,607.8427439724121,8594.896399769908,0.0
8,2022-04-14 15:00:00,BUY,13.5,638.36995733636,8617.99442404086,0.0
9,2022-04-15 05:00:00,SELL,14.0,638.36995733636,8937.17940270904,0.0
10,2022-04-17 20:00:00,BUY,14.13,631.3673144922599,8921.220153775632,0.0
11,2022-04-18 18:00:00,SELL,13.8,631.3673144922599,8712.868939993186,0.0
12,2022-04-22 00:00:00,BUY,13.68,637.6671418627419,8723.286500682309,0.0
13,2022-04-25 20:00:00,SELL,13.36,637.6671418627419,8519.233015286232,0.0
14,2022-04-26 13:00:00,BUY,13.04,654.0978289536838,8529.435689556036,0.0
15,2022-05-03 07:00:00,SELL,11.3,654.0978289536838,7391.305467176628,0.0
16,2022-05-03 19:00:00,BUY,10.88,684.5783068286395,7448.211978295598,0.0
17,2022-05-04 08:00:00,SELL,11.38,684.5783068286395,7790.501131709918,0.0
18,2022-05-05 13:00:00,BUY,11.73,662.6928110860359,7773.386674039201,0.0
19,2022-05-10 13:00:00,SELL,9.07,662.6928110860359,6010.623796550346,0.0
20,2022-05-11 23:00:00,BUY,6.87,887.7382737153987,6098.761940424789,0.0
21,2022-05-13 08:00:00,SELL,7.23,887.7382737153987,6418.347718962333,0.0
22,2022-05-14 11:00:00,BUY,6.77,945.6969616005105,6402.368430035455,0.0
23,2022-05-15 01:00:00,SELL,7.17,945.6969616005105,6780.64721467566,0.0
24,2022-05-16 13:00:00,BUY,7.29,927.5354287302675,6761.73327544365,0.0
25,2022-05-17 06:00:00,SELL,7.82,927.5354287302675,7253.327052670693,0.0
26,2022-05-18 13:00:00,BUY,7.17,1008.1934956498383,7228.747363809341,0.0
27,2022-05-19 15:00:00,SELL,7.23,1008.1934956498383,7289.238973548331,0.0
28,2022-05-21 01:00:00,BUY,6.8,1071.5021166266738,7286.214393061381,0.0
29,2022-05-21 15:00:00,SELL,7.02,1071.5021166266738,7521.944858719249,0.0
30,2022-05-23 22:00:00,BUY,7.09,1059.260696112321,7510.158335436356,0.0
31,2022-05-25 03:00:00,SELL,7.33,1059.260696112321,7764.380902503313,0.0
32,2022-05-25 16:00:00,BUY,7.02,1104.2264635541262,7751.669774149966,0.0
33,2022-05-28 15:00:00,SELL,6.55,1104.2264635541262,7232.683336279527,0.0
34,2022-06-01 14:00:00,BUY,7.3,994.3332408456232,7258.632658173049,0.0
35,2022-06-02 11:00:00,SELL,7.06,994.3332408456232,7019.992680370099,0.0
36,2022-06-03 10:00:00,BUY,6.74,1043.3122669525587,7031.924679260246,0.0
37,2022-06-04 21:00:00,SELL,7.24,1043.3122669525587,7553.580812736525,0.0
38,2022-06-07 00:00:00,BUY,7.53,999.6677298888062,7527.498006062711,0.0
39,2022-06-07 18:00:00,SELL,8.24,999.6677298888062,8237.262094283764,0.0
40,2022-06-10 13:00:00,BUY,8.52,962.6495175906938,8201.773889872711,0.0
