,date,type,price,units,value,fee
0,2024-01-02 00:00:00,BUY,7.32115,1297.6103481010496,9500.0,0.0
1,2024-01-02 14:00:00,SELL,7.31,1297.6103481010496,9485.531644618672,0.0
2,2024-01-04 16:00:00,BUY,6.68,1420.0980632316973,9486.255062387738,0.0
3,2024-01-04 20:00:00,SELL,6.582,1420.0980632316973,9347.085452191031,0.0
4,2024-01-06 16:00:00,BUY,6.41453,1458.2586616168085,9354.043932700866,0.0
5,2024-01-07 11:00:00,SELL,6.31347,1458.2586616168085,9206.672312357872,0.0
6,2024-01-08 17:00:00,BUY,6.124,1504.5788526085928,9214.040893375022,0.0
7,2024-01-09 09:00:00,SELL,6.003,1504.5788526085928,9031.986852209382,0.0
8,2024-01-10 01:00:00,BUY,6.10799,1480.2070000552824,9041.089554267664,0.0
9,2024-01-12 10:00:00,SELL,6.63281,1480.2070000552824,9817.931792036678,0.0
10,2024-01-12 11:00:00,BUY,6.798,1438.524518997974,9779.089680148227,0.0
11,2024-01-12 17:00:00,SELL,6.564,1438.524518997974,9442.474942702702,0.0
12,2024-01-15 10:00:00,BUY,6.68,1416.063724487272,9459.305679574978,0.0
13,2024-01-17 05:00:00,SELL,6.72566,1416.063724487272,9523.963149235067,0.0
14,2024-01-18 02:00:00,BUY,6.81172,1397.6984191587533,9520.730275752063,0.0
15,2024-01-18 12:00:00,SELL,6.533,1397.6984191587533,9131.163772364136,0.0
16,2024-01-20 02:00:00,BUY,6.38899,1432.2517483254053,9150.642097533531,0.0
17,2024-01-21 15:00:00,SELL,6.44753,1432.2517483254053,9234.486114880501,0.0
18,2024-01-24 12:00:00,BUY,5.805,1590.0592444467104,9230.293914013153,0.0
19,2024-01-24 13:00:00,SELL,5.785,1590.0592444467104,9198.49272912422,0.0
20,2024-01-24 14:00:00,BUY,5.801,1585.9477311444004,9200.082788368667,0.0
21,2024-01-24 20:00:00,SELL,5.759,1585.9477311444004,9133.472983660602,0.0
22,2024-01-25 01:00:00,BUY,5.841,1564.2532911994529,9136.803473896005,0.0
23,2024-01-25 07:00:00,SELL,5.78,1564.2532911994529,9041.384023132838,0.0
24,2024-01-25 09:00:00,BUY,5.82,1554.3221642046385,9046.154995670997,0.0
25,2024-01-25 15:00:00,SELL,5.68917,1554.3221642046385,8842.803026928103,0.0
26,2024-01-26 06:00:00,BUY,5.792,1528.4824974732817,8852.970625365248,0.0
27,2024-01-26 08:00:00,SELL,5.74199,1528.4824974732817,8776.53121566661,0.0
28,2024-01-26 11:00:00,BUY,5.82997,1506.0717612872004,8780.35318615154,0.0
29,2024-01-28 15:00:00,SELL,5.9351,1506.0717612872004,8938.686510415664,0.0
30,2024-01-29 05:00:00,BUY,6.01,1485.984999035351,8930.76984420246,0.0
